algorithm,n,time_seconds,memory_kb
mergesort,10000000,0.839867,81492
stdsort,10000000,0.248324,81624
mergesort,10000000,0.813296,81368
stdsort,10000000,0.254895,81624
mergesort,10000000,0.874703,81356
stdsort,10000000,0.276688,81644
mergesort,10000000,1.45605,81368
quicksort,10000000,0.847434,68832
stdsort,10000000,0.750235,81588
mergesort,10000000,1.41197,81300
quicksort,10000000,0.85752,69080
stdsort,10000000,0.738875,81624
mergesort,10000000,1.39753,81288
quicksort,10000000,0.851973,69080
stdsort,10000000,0.747548,81572
mergesort,10000000,0.613493,81472
stdsort,10000000,0.150572,81420
mergesort,10000000,0.612964,81292
stdsort,10000000,0.15245,81520
mergesort,10000000,0.62514,81496
stdsort,10000000,0.147822,81620
mergesort,10000000,0.594805,81496
stdsort,10000000,0.180107,81620
mergesort,10000000,0.590272,81368
stdsort,10000000,0.178058,81568
mergesort,10000000,0.617673,81476
stdsort,10000000,0.182362,81600
mergesort,10000000,0.613701,81444
stdsort,10000000,0.149242,81624
mergesort,10000000,0.609601,81496
stdsort,10000000,0.149017,81620
mergesort,10000000,0.597203,81492
stdsort,10000000,0.148556,81624
mergesort,10000000,0.649739,81368
stdsort,10000000,0.176278,81624
mergesort,10000000,0.656645,81380
stdsort,10000000,0.174986,81620
mergesort,10000000,0.664738,81492
stdsort,10000000,0.172984,81620
mergesort,100000,0.00721276,4180
quicksort,100000,0.40367,4312
stdsort,100000,0.00209281,4312
mergesort,100000,0.00705876,4184
quicksort,100000,0.401226,4308
stdsort,100000,0.00215495,4312
mergesort,100000,0.00716852,4180
quicksort,100000,0.408564,4312
stdsort,100000,0.00220683,4312
mergesort,100000,0.0105218,4184
quicksort,100000,0.00612122,3968
stdsort,100000,0.0054708,4312
mergesort,100000,0.0109417,4180
quicksort,100000,0.00627742,3968
stdsort,100000,0.00543247,4308
mergesort,100000,0.0104336,4184
quicksort,100000,0.00609937,3968
stdsort,100000,0.00600804,4312
mergesort,100000,0.00504117,4180
quicksort,100000,3.98707,8536
stdsort,100000,0.00105824,4312
mergesort,100000,0.00485769,4180
quicksort,100000,3.9483,8408
stdsort,100000,0.00112411,4312
mergesort,100000,0.00486932,4184
quicksort,100000,3.98846,8408
stdsort,100000,0.00105553,4312
mergesort,100000,0.00485391,4180
quicksort,100000,4.04266,8404
stdsort,100000,0.00114945,4312
mergesort,100000,0.00480567,4184
