Instancia,N,Q,M,E,Algoritmo,Tiempo_ms,Satisfaccion,Memoria_KB
testcases_109_4,109,700,3000,500,DP,2232.36,2864098637,24616
testcases_109_4,109,700,3000,500,Greedy(v),0.063443,1365220376,2084
testcases_109_4,109,700,3000,500,Greedy(v/t),0.076299,1367294965,2084
testcases_118_1,118,700,3000,500,DP,2349.95,3203778744,24712
testcases_118_1,118,700,3000,500,Greedy(v),0.065678,1931482855,2180
testcases_118_1,118,700,3000,500,Greedy(v/t),0.080071,1879043938,2180
testcases_11_2,11,28,277,69,BruteForce,1.55313,420314059,2056
testcases_11_2,11,28,277,69,DP,1.50395,420314059,2312
testcases_11_2,11,28,277,69,Greedy(v),0.050516,242136822,2056
testcases_11_2,11,28,277,69,Greedy(v/t),0.02138,242136822,2056
testcases_15_1,15,35,369,87,BruteForce,36.5372,700693839,1936
testcases_15_1,15,35,369,87,DP,2.44963,700693839,2576
testcases_15_1,15,35,369,87,Greedy(v),0.070009,601249274,2064
testcases_15_1,15,35,369,87,Greedy(v/t),0.025712,600785890,2064
testcases_25_4,25,84,889,288,DP,56.6019,1120581215,5012
testcases_25_4,25,84,889,288,Greedy(v),0.024804,814400891,2068
testcases_25_4,25,84,889,288,Greedy(v/t),0.057224,785111277,2068
testcases_26_1,26,92,1280,346,DP,127.993,1624059626,8036
testcases_26_1,26,92,1280,346,Greedy(v),0.030603,1238457461,2060
testcases_26_1,26,92,1280,346,Greedy(v/t),0.059879,1181723124,2060
testcases_40_3,40,154,1480,455,DP,303.872,1920047514,11672
testcases_40_3,40,154,1480,455,Greedy(v),0.035284,1292581326,2072
testcases_40_3,40,154,1480,455,Greedy(v/t),0.07015,1513049203,2072
testcases_44_2,44,156,2213,490,DP,562.526,2380541898,18100
testcases_44_2,44,156,2213,490,Greedy(v),0.033328,2063614902,2064
testcases_44_2,44,156,2213,490,Greedy(v/t),0.081049,1979052306,2064
testcases_49_5,49,172,2715,483,DP,720.313,2518266200,21776
testcases_49_5,49,172,2715,483,Greedy(v),0.089713,1920394628,2064
testcases_49_5,49,172,2715,483,Greedy(v/t),0.083983,1775692987,2064
testcases_4_3,4,10,98,38,BruteForce,0.003284,203478126,1944
testcases_4_3,4,10,98,38,DP,0.084542,203478126,2072
testcases_4_3,4,10,98,38,Greedy(v),0.02152,203478126,2072
testcases_4_3,4,10,98,38,Greedy(v/t),0.023895,131876377,2072
testcases_60_5,60,401,3000,500,DP,1281.73,2051818333,24604
testcases_60_5,60,401,3000,500,Greedy(v),0.092926,955161896,2072
testcases_60_5,60,401,3000,500,Greedy(v/t),0.097538,1133944242,2072
testcases_6_5,6,9,83,22,BruteForce,0.003214,291677570,1936
testcases_6_5,6,9,83,22,DP,0.06931,291677570,2064
testcases_6_5,6,9,83,22,Greedy(v),0.023546,262508400,2064
testcases_6_5,6,9,83,22,Greedy(v/t),0.023476,262508400,2064
testcases_7_4,7,15,134,52,BruteForce,0.008524,272715688,1928
testcases_7_4,7,15,134,52,DP,0.197241,272715688,2056
testcases_7_4,7,15,134,52,Greedy(v),0.043529,218990321,2056
testcases_7_4,7,15,134,52,Greedy(v/t),0.022079,217313568,2056
testcases_80_3,80,481,3000,500,DP,1626.52,2642371120,24608
testcases_80_3,80,481,3000,500,Greedy(v),0.047372,1642643335,2076
testcases_80_3,80,481,3000,500,Greedy(v/t),0.159302,1653811309,2076
testcases_97_2,97,700,3000,500,DP,2105.4,2313323921,24612
testcases_97_2,97,700,3000,500,Greedy(v),0.126533,1530305226,2084
testcases_97_2,97,700,3000,500,Greedy(v/t),0.066725,1368500061,2084
